Title,averageRating,voteCount
Shut In,7.1,237
Hustle,7.9,1704
The Conjuring 2,7.3,7106
Panama,5.6,85
The Hobbit: The Battle of the Five Armies,7.3,12379
Iron Man 2,6.8,18512
Avengers: Age of Ultron,7.3,20496
American Sicario,6,78
The Little Guy,7.5,134
Groot's Pursuit,7.4,129
Kimi,6.2,540
WarHunt,5,62
Don't Breathe 2,7.3,1875
Pirates of the Caribbean: On Stranger Tides,6.5,12368
Creed,7.4,6172
Cat Pack: A PAW Patrol Exclusive Event,7.6,59
The Twilight Saga: Eclipse,6.2,7736
Tom and Jerry Cowboy Up!,6.9,390
Clean,6.4,232
V/H/S/99,5.8,38
No Time to Die,7.4,4675
9 Bullets,5.5,66
Shrek 2,7.2,10334
Black Panther,7.4,19641
Space Jam: A New Legacy,6.9,3325
Roald Dahl's The Witches,6.4,2350
Halloween,7.6,4473
The Unholy,6.7,1746
The Book of Life,7.5,2266
A Trip to Infinity,6.4,22
Ice Age,7.3,11464
The First Purge,6,3422
Undisputed III: Redemption,7.6,678
Ambulance,6.9,1195
Fortress: Sniper's Eye,5.7,118
Tangled,7.6,9740
Interstellar,8.4,29630
Creed III,0,0
Orphan,7,4436
My Friend Dahmer,6.5,456
The Wolf of Wall Street,8,20500
Raya and the Last Dragon,8,5656
Bros,7,111
The Redeem Team,7.5,61
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.9,1000
Meet Cute,5.9,26
Do Revenge,6.5,414
"Lyle, Lyle, Crocodile",6.2,13
Me Before You,7.9,10540
Monster Hunter,6.7,2728
The SpongeBob Movie: Sponge on the Run,7.6,2546
A Love Song,5.9,6
Twilight,6.3,11886
The Lord of the Rings: The Fellowship of the Ring,8.4,21696
Bride of Chucky,6,1509
Heatwave,6.9,78
Dune,7.9,7861
The Purge: Election Year,6.4,4631
Chickenhare and the Hamster of Darkness,7.5,194
Raymond & Ray,7,44
The Unbearable Weight of Massive Talent,6.9,784
The Commando,5.9,92
The Lord of the Rings: The Two Towers,8.4,18852
Boyka: Undisputed IV,7,1057
Charlie and the Chocolate Factory,7,13020
Frozen II,7.3,8466
Purple Hearts,8.3,1635
The Twilight Saga: Breaking Dawn - Part 2,6.5,7893
Finch,8,2612
Elvis,7.8,1708
It,7.2,16970
Halloween,6.2,1894
Titanic,7.9,21683
Fight Club,8.4,25050
Thor,6.8,18904
Harry Potter 20th Anniversary: Return to Hogwarts,7.5,2158
The Little Mermaid,7.4,6674
The Stranger,6.2,53
Real Steel,6.9,6939
The House,7.1,749
First Love,6.1,67
Interceptor,6.2,539
Fireheart,7.5,172
Toy Story 4,7.6,8358
Gold,6.3,405
Fifty Shades of Grey,5.9,10502
Ratatouille,7.8,14467
Green Lantern: Beware My Power,7.2,108
Jeepers Creepers 3,4.9,705
Man of Steel,6.6,13504
Mulan,6.9,5873
Big Hero 6,7.7,13984
Scary Movie 2,5.8,3873
Chip 'n Dale: Rescue Rangers,7,821
The Princess and the Frog,7.2,4607
Wrong Turn 3: Left for Dead,5.6,913
Inside Out,7.9,18303
Toy Story 2,7.6,12004
Teen Titans Go! & DC Super Hero Girls: Mayhem in the Multiverse,6.8,63
Cars 3,6.8,4733
Joker,8.2,21465
See for Me,6.1,114
Ivy + Bean: Doomed to Dance,6,2
The Twilight Saga: Breaking Dawn - Part 1,6.2,7769
Pacific Rim,6.9,10892
Living with Chucky,4,3
The Lord of the Rings: The Return of the King,8.5,20418
Where the Crawdads Sing,7.7,514
The Marksman,6.9,1266
Girl in the Basement,8,433
The Super Mario Bros. Movie,0,0
Prey for the Devil,10,3
Pirates of the Caribbean: At World's End,7.2,12487
Wonder Woman 1984,6.5,7169
Taken 3,6.2,5036
Snake Eyes: G.I. Joe Origins,6.6,1227
Infinite,6.7,1236
World War Z,6.8,13484
Cars 2,6,6517
Jeepers Creepers,6.4,2417
Soul,8.2,8506
A Quiet Place,7.4,12087
White Chicks,6.9,3091
The Lion King,7.1,8717
Dahmer,5.3,233
Mulan,7.9,8319
Ava,5.8,2087
Seed of Chucky,5.4,1266
Batman v Superman: Dawn of Justice,5.9,16228
Paranormal Activity: Next of Kin,6.4,440
The Boy in the Striped Pyjamas,7.9,6053
Cinderella,7,5832
Scary Movie 5,4.8,2409
Fifty Shades Freed,6.7,7062
Entergalactic,7.4,105
Child's Play,6.7,2361
Tom & Jerry,6.9,2109
The Hangover,7.3,14884
The Nun,5.8,5425
Charm City Kings,7.9,330
Aníkúlápó,6.7,24
Knowing,6.1,4545
Fistful of Vengeance,5.6,225
Frozen,7.3,14636
Pirates of the Caribbean: Dead Man's Chest,7.3,13924
Old,6.5,3131
Snow White and the Seven Dwarfs,7.1,6395
xXx: Return of Xander Cage,6.1,7081
Grown Ups 2,6.1,3580
The Outfit,7.1,480
The Parent Trap,7.1,3444
Legion,5.8,2201
The Vault,6.9,692
Black Water: Abyss,5.1,354
Despicable Me 2,6.9,10007
Behind the Fright: The Making of American Horror Story,9.1,13
The Mountain Between Us,6.6,2034
Bull Shark,5.5,53
War of the Worlds: Annihilation,5.3,76
Grown Ups,6.3,5131
I Won't Let You Go,6,2
