Title,averageRating,voteCount
Planes: Fire & Rescue,6.1,701
The League of Extraordinary Gentlemen,5.9,3487
Single All the Way,6.5,277
Wallace & Gromit: The Curse of the Were-Rabbit,7,2204
Safe,6.5,2050
Winchester,5.9,1546
The Collector,6.6,1200
The Omen,7.4,1608
Puss in Book: Trapped in an Epic Tale,6.5,167
Warm Bodies,6.4,5510
Teen Titans Go! To the Movies,7.4,962
Coach Carter,7.5,2270
Magic Mike,6.1,2603
Hole in One,4.2,83
The French Dispatch,7.2,1761
Kidnap,6.2,1147
Smiley,4.4,338
Path of Darkness: Making 'Silent Hill',5.8,4
The Bourne Ultimatum,7.4,6662
Octopussy,6.3,1574
Lady Bird,7.3,7281
Deuce Bigalow: Male Gigolo,5.9,1130
Clue,7.2,1372
Muppets Haunted Mansion,6.6,145
Ida Red,6.1,44
The Pacifier,6,2649
The Death of the Incredible Hulk,5,58
Long Story Short,6.9,137
Trading Places,7.2,2673
Déjà Vu,6.8,4011
Spy,6.8,5377
Triple 9,5.9,1849
Gacy,4.6,92
My Girl,7.4,1741
The Tinder Swindler,7.1,724
Shame,7,2685
30 Days of Night: Dark Days,4.9,418
Trainspotting,8,8433
Spider-Man 2,7.2,13089
Twister,6.4,2651
Mr. & Mrs. Smith,6.7,8925
An American Tail: Fievel Goes West,6.3,618
Monster High: Welcome to Monster High,6.7,104
Platoon,7.7,3715
Monte Carlo,6.6,1884
The New Guy,5.9,473
Skin Trade,6.1,199
James Corden's Top Gun Training with Tom Cruise,5.4,9
Come True,6.1,177
Paranormal Activity 2,5.7,2092
Nanny McPhee and the Big Bang,6.3,1580
Basic Instinct,6.9,3111
Mystic River,7.7,5452
Antz,6.1,3885
Case 39,6.3,1946
Gerald's Game,6.4,3118
12 Hour Shift,5.4,176
The Little Prince,7.6,2436
High School,5.7,121
The Rover,6.3,793
Leprechaun Returns,6,283
The Social Network,7.3,10374
Hot Shots!,6.6,1762
Yu-Gi-Oh! The Movie,6,278
The Escort,6,344
Trainwreck,5.8,2338
The Ugly Truth,6.5,3088
Hot Shots! Part Deux,6.5,1536
Mr. Bean's Holiday,6.3,2424
Cranston Academy: Monster Zone,6.1,89
The Lost City of Z,6.4,2464
I'm in Love with a Church Girl,6.2,70
Demolition Man,6.7,3043
The Wall,6.3,744
Spy Kids: All the Time in the World,4.7,827
Cats & Dogs,5.4,1382
The Death of Superman,7.5,441
Charlie's Angels: Full Throttle,5.5,2641
Wishmaster 2: Evil Never Dies,5.4,198
True Lies,7,3344
Reservoir Dogs,8.1,12303
Regular Show: The Movie,7.8,289
Blockers,6.3,1744
Smelliville,7.1,55
Four Brothers,6.7,1737
The Karate Kid Part III,5.9,1292
Meet the Spartans,4,1391
Tremors 5: Bloodlines,5.5,325
30 Days of Night,6.4,2284
Caligola,5.9,593
Christmas with the Kranks,6.1,892
You Only Live Twice,6.5,1746
Citizen Kane,8,4591
National Lampoon's Vacation,7.1,1230
Twitches Too,6.8,290
Killing Season,5.5,854
The Ant Bully,5.7,1169
The Dreamers,7.2,2444
I Am All Girls,6.7,231
Shadows: The Making Of Nope,10,1
The Gods Must Be Crazy,7.3,909
The Debt Collector,5.9,161
Superman/Batman: Apocalypse,7.2,569
Lord of War,7.3,3903
Brick Mansions,5.9,1346
Freaks,6.8,922
Kronk's New Groove,6.4,1072
The Gods Must Be Crazy II,7,387
Joy Ride,6.5,961
Mission: Impossible II,6.1,5512
Hellraiser III: Hell on Earth,5.7,578
Unforgiven,7.9,3577
Olaf's Frozen Adventure,6.4,1302
The Adventures of Tintin,6.9,4716
Sleepers,7.6,2928
Taxi,5.6,849
To All the Boys: P.S. I Still Love You,6.9,2263
Dragonheart: Battle for the Heartfire,6.2,182
Paul Blart: Mall Cop 2,5.1,1347
Memento,8.2,12695
Mine,6.6,1136
Baby's Day Out,6.3,1079
Fright Night,7.1,1069
Child 44,6.3,1429
Pet Sematary,5.7,2783
Sabotage,5.6,1216
Castle Freak,4.7,47
Artemis Fowl,5.6,1420
Polar,6.3,1833
Mr. Popper's Penguins,5.9,2533
The Bourne Supremacy,7.3,6511
Dracula Untold,6.4,5384
The Founder,7.1,4092
Aftersun,7.4,12
The Wolfman,5.8,1681
Hall Pass,5.6,1688
Sweeney Todd: The Demon Barber of Fleet Street,7.2,5115
Ladyhawke,7,955
CHiPS,6.1,1097
Andor: A Disney+ Day Special Look,5.8,8
Hayride to Hell,0,0
Halo: Legends,7.4,132
"I, Tonya",7.5,4963
Skiptrace,5.7,543
S.W.A.T.: Firefight,5.8,279
Sin City,7.4,7022
Barbie: The Pearl Princess,6.9,261
Cruel Intentions,6.8,2714
The Book of Esther,6.3,14
Sinister 2,5.9,1843
The Terminal,7.3,6663
What's Eating Gilbert Grape,7.7,3304
Code 8,6.2,1479
The Ice Road,7,1338
National Treasure: Book of Secrets,6.3,4419
Faster,6.3,1619
Barbie in the Pink Shoes,6.8,299
Peter Pan,7.2,2301
The Green Inferno,5.7,1161
The Iceman,6.5,853
A.I. Artificial Intelligence,7,5349
Date Night,6.1,2482
Along for the Ride,6.7,232
Tomorrow Never Dies,6.3,2567
Books of Blood,6.6,287
American Made,6.8,3794
Heks,6.1,29
Dennis the Menace,5.8,1229
Project Power,6.5,2421
Cleopatra,7.1,568
Creepshow 3,4.7,125
Game of Thrones: The Story So Far,8.3,10
Justice League: The New Frontier,6.8,425
Pelé: Birth of a Legend,7.4,891
Holidate,7.1,1737
Jackass Presents: Bad Grandpa,6.1,1357
Lawrence of Arabia,8,2407
Con Air,6.7,3440
Inkheart,6.3,1852
Jesus,8.3,164
The Hateful Eight,7.7,12460
Gremlins 2: The New Batch,6.4,2102
Resort to Love,7.3,352
Hellbound: Hellraiser II,6.4,859
Begin Again,7.3,3356
Scooby-Doo! in Where's My Mummy?,7.4,317
The Basketball Diaries,7.4,1627
Resident Evil,6.6,5410
Sand Castle,6.5,653
12 Years a Slave,8,9954
Mad Max,6.7,3573
The Boy Behind The Door,6.6,149
Superman/Batman: Public Enemies,7,525
The Texas Chainsaw Massacre 2,5.6,655
A Score to Settle,6.1,404
Godzilla,5.6,3259
The Possession of Michael King,6,324
Charlie's Angels,5.8,3615
Rage,5.3,642
Mary Poppins Returns,6.5,2918
A Dog's Way Home,7.3,938
The Man from U.N.C.L.E.,7.1,5476
The Princess Switch 3: Romancing the Star,6.9,322
Return of the Jedi,7.9,13365
Only the Brave,7.4,1273
Bad Teacher,5.6,4157
The Other Woman,6.4,3196
Big Momma's House 2,5.8,1356
Mulholland Drive,7.8,5097
Danger Close: The Battle of Long Tan,6.9,244
Maggie,5.4,1418
Gabriel's Inferno: Part III,8.5,990
Funny People,5.9,1086
Batman: The Killing Joke,6.6,1553
The Girl with All the Gifts,6.6,1669
"tick, tick... BOOM!",7.8,1558
Risen,6.1,700
The Bible: In the Beginning...,7.2,189
The Little Rascals,6.7,998
Superman: Man of Tomorrow,7.2,361
RoboCop 2,6,1486
Smallfoot,6.8,1302
Locked Down,5.4,205
The Bubble,4.7,292
Priest,5.7,1930
Diary of a Wimpy Kid,6.2,1316
"Batman: The Dark Knight Returns, Part 2",8,1192
Exorcist II: The Heretic,4.5,543
After We Leave,5.3,24
Monster Trucks,6.1,721
Silver Linings Playbook,7.1,10759
The Visit,6.3,4030
Murder Mystery,6.2,3417
The Secret Life of Walter Mitty,7.2,6688
Scooby-Doo! Return to Zombie Island,7,708
Return to Never Land,6.4,1949
Strange Magic,7.1,372
Teen Titans Go! vs. Teen Titans,7.9,394
All Saints,6.2,45
Chernobyl Diaries,5.3,1376
Age of Tomorrow,3,58
A Man Called Otto,0,0
Hot Girls Wanted,5.9,504
Crimson Peak,6.6,4417
The Guilty,6.4,1913
The Paperboy,5.6,634
Charlotte's Web,6.2,1203
Gothika,6.1,1896
The Three Musketeers,5.8,2324
Solace,6.4,1924
True Romance,7.6,2223
Euphoria,6.4,99
I Know What You Did Last Summer,5.9,2280
Powder,6.9,491
The Lego Ninjago Movie,6.5,837
Ghostland,7.4,1964
Scooby-Doo! Pirates Ahoy!,7.6,220
A Princess for Christmas,7.1,351
Dirty Dancing,7.3,5261
One Flew Over the Cuckoo's Nest,8.4,8911
Doula,4.8,13
The Wild Thornberrys Movie,6.5,220
Walking Tall,6.3,1249
Zathura: A Space Adventure,6.4,2760
Austin Powers: The Spy Who Shagged Me,6.3,2804
The Outpost,6.9,821
Avatar 4,0,0
The Peanuts Movie,6.9,1376
Triple Threat,6.4,485
Robin Robin,7.1,131
Big Momma's House,5.8,1966
They Live Inside Us,5.8,29
Intersect,5.7,49
Pride and Prejudice and Zombies,6.1,1930
Herbie Fully Loaded,5.7,1980
Wild Hogs,5.9,1970
Arthur Christmas,6.8,1185
Big Game,5.5,1002
Cujo,6.1,789
Day of the Dead: Bloodline,4.7,531
Dark Skies,6.3,1537
Framed by My Husband,5,8
Love Actually,7.1,5637
Shattered Glass,6.9,346
Everly,5.5,456
Game Night,6.8,5031
Grace Unplugged,6.2,51
Dune,6.2,2322
Roald Dahl's Matilda the Musical,0,0
The Girl with the Dragon Tattoo,7.4,6007
Brokeback Mountain,7.8,5944
"Girl, Interrupted",7.6,3107
Reign of the Supermen,7.1,516
Over the Hedge,6.5,3812
Brahms: The Boy II,6,1053
What Lies Below,5.3,125
Broken City,5.9,1258
Stranger Things,8.7,58
War,6.3,1356
Paranormal Activity 4,5.4,1624
From Russia with Love,7.1,2436
Do You Believe?,6.6,116
The Blues Brothers,7.8,3531
The Pink Panther,5.8,1652
Alien Resurrection,6.1,4008
Horrible Bosses,6.6,5604
"Lights, Camera, Murder: Scream",0,0
Deliver Us from Evil,6.2,1767
Tremors 2: Aftershocks,6.2,753
Minions: Puppy,7.3,188
The Bodyguard,6.7,2430
The Birds,7.5,3337
In Hell,6.4,417
Torque,5.1,447
The Host,6.3,3627
Ted K,5.8,63
Mercenaries,5.4,107
Mars Needs Moms,6,575
SlugTerra: Return of the Elementals,6.8,223
Momentum,5.7,458
Jarhead 3: The Siege,6.3,197
Captain Underpants: The First Epic Movie,6.2,1010
21 Bridges,6.8,1621
Shoot 'Em Up,6.4,1557
Children of the Corn,5.7,805
Resident Evil: Apocalypse,6.3,3654
Hot Fuzz,7.5,6416
Cargo,6.4,1482
Jaws 3-D,4.4,1025
127 Hours,7.1,6582
Braven,6.2,852
From Hell,6.7,2387
24 Hours To Live,5.9,542
Justice League: Crisis on Two Earths,7.3,580
Grand Isle,5.6,242
Mannequin,6.8,565
Original Sin,6.1,678
Hoodwinked Too! Hood VS. Evil,5.1,459
American Beauty,8,10566
Reminiscence,6.8,1339
I Still Know What You Did Last Summer,5.3,1229
Austin Powers: International Man of Mystery,6.5,2823
Casino,8,4727
Raging Bull,8,3497
American Underdog,7.4,130
Camp Rock 2: The Final Jam,6.3,1375
National Lampoon's Christmas Vacation,7.2,1862
The Messengers,5.7,684
The Little Vampire,6.8,346
The Sand,5.3,192
The Ruins,5.9,921
Next Avengers: Heroes of Tomorrow,6.9,206
Dances with Wolves,7.9,3492
The Longest Ride,7.6,2820
Snatch,7.8,7631
The Star,6.2,438
The Hurricane Heist,5.7,866
In the Heart of the Sea,6.7,3593
Suspiria,6.9,2086
Alien³,6.3,4643
The Man with the Iron Fists 2,5.6,208
Polar Bear,7.5,37
Phantom,5.9,257
Before I Fall,7,3135
Hugo,7.2,6348
Father Christmas Is Back,4.6,105
Monster High: Why Do Ghouls Fall in Love?,7.9,128
Nerve,7.1,6267
You Again,6.3,1109
Planet Terror,6.6,2897
Coyote Ugly,6.3,1759
After,5.6,144
Before I Wake,6.4,1568
Ginger Snaps,6.8,676
Hard Target,6.3,892
Believe Me: The Abduction of Lisa McVey,8.1,445
Playing It Cool,5.9,660
9 Songs,5.7,415
Tooth Fairy 2,5,147
Die Another Day,6,2950
The Prestige,8.2,13528
Spider-Man: Convergence,0,0
John Q,7.1,1974
Tides,5.6,134
The Mitchells vs. the Machines,8,2170
The Lost Daughter,6.6,658
Klaus,8.3,3082
The Unfamiliar,5.9,74
The Last House on the Left,6.4,1431
How High,6.3,774
Jingle Jangle: A Christmas Journey,6.7,416
The Walking Dead,6.9,19
Batman: Bad Blood,7.2,625
Level 16,6.8,481
Patriots Day,7,2233
Unleashed,6.9,1670
Gran Torino,8,9324
The Last Letter from Your Lover,7.5,460
Hitch,6.5,5022
The Cokeville Miracle,6.7,72
A Thousand Words,6.1,1150
The Animatrix,7.2,1286
Renegades,5.7,276
Respect,6.9,293
Vice,4.3,484
Adult World,6.1,327
Alien Outpost,5.2,190
Uncut Gems,7.1,3805
Red Riding Hood,6,2825
Girls Trip,6.8,1354
Barbie: A Perfect Christmas,6.7,249
The Last Temptation of Christ,7.2,839
Wild Is the Wind,0,0
The King,7.2,2658
Mortal Kombat: Annihilation,4.5,950
The Count of Monte Cristo,7.6,1461
The Many Adventures of Winnie the Pooh,7.2,825
Teen Titans: Trouble in Tokyo,7.8,289
The Hitchhiker's Guide to the Galaxy,6.7,3357
Emergency,6,142
Remember the Titans,7.6,2206
Kiss of the Dragon,6.8,963
Z-O-M-B-I-E-S 2,7.7,360
Black Box,6.5,416
My Little Pony: The Movie,7.2,316
The Lost Boys,7.1,1609
The Monuments Men,6,3157
A Cinderella Story: Christmas Wish,6.4,600
Open Season,6.1,2289
Hook,6.8,4574
Bright,6.2,5014
Prey,5.7,286
Little Nicky,5.9,1523
Moontrap: Target Earth,4.5,53
The Loft,6.4,1271
Unfriended: Dark Web,6.3,1285
Species: The Awakening,4.7,189
Proximity,6.2,160
What Women Want,6.4,3351
The Outsiders,7.3,1037
Initiation,5.6,93
Jaws 2,5.9,1552
Showgirls,5.5,967
Hollow Man,5.9,2116
The Art of Racing in the Rain,8.3,1120
If I Stay,7.4,3869
Van Wilder: Freshman Year,5.4,274
The Amityville Horror,6.3,711
Amadeus,8,3486
Emma.,7.1,1403
Greyhound,7.4,2275
Kickboxer: Retaliation,5.4,242
Act of Valor,6.5,962
The House with a Clock in Its Walls,6.2,1877
Death Note,4.2,3569
The Grudge 3,5.4,498
Hollywood Stargirl,6.8,35
Life Itself,7.2,433
Fighting with My Family,6.9,1431
Bones and All,0,0
Beauty and the Beast: The Enchanted Christmas,6.2,846
Ice Age: The Great Egg-Scapade,6.4,404
Sherlock: The Abominable Bride,7.9,2051
Conan the Destroyer,6.1,1223
Letters to Juliet,7,2577
1408,6.7,3596
Garfield: A Tail of Two Kitties,5.5,1810
Rubikon,5.7,46
Blair Witch,5.2,1672
The Day After,6.7,290
Bachelorette,5.4,1097
Ben 10: Race Against Time,5.7,256
Star Wars: The Clone Wars,6.1,1658
Mortal Kombat,5.8,1869
Scooby-Doo on Zombie Island,7.7,594
Marauders,5.8,519
Contact,7.4,3692
Shanghai Noon,6.4,2137
I Feel Pretty,6.4,1872
Starbright,0,0
Talladega Nights: The Ballad of Ricky Bobby,6.3,1365
RED,6.7,5863
Mike and Dave Need Wedding Dates,6.1,2231
Dragon: The Bruce Lee Story,6.9,573
Red Lights,6.2,1031
End of Days,6,1502
The Land Before Time: The Great Valley Adventure,6.3,482
Sniper,6.1,323
Licence to Kill,6.3,1557
The Barbie Diaries,6.3,316
The Rite,6.1,1792
Breaking,7.1,33
Legends of the Fall,7.4,2111
The Little Prince(ss),7.3,122
Justice League Dark,7.3,902
The Haunting in Connecticut 2: Ghosts of Georgia,5.9,435
The Shallows,6.4,4538
Night of the Living Dead,7.6,1951
Batman Forever,5.4,4449
Playing with Fire,6.8,568
You're Next,6.6,2048
Revolt,5.5,298
LEGO Monkie Kid: A Hero Is Born,5.9,10
Monster High: 13 Wishes,7.4,124
Batman Beyond: Return of the Joker,7.3,841
Grimsby,5.9,1979
The Village,6.4,3472
The Naked Gun: From the Files of Police Squad!,7.2,2986
Mad Max Beyond Thunderdome,6.2,2304
Eagle Eye,6.4,2450
Stigmata,6.2,881
What Remains,0,0
So Undercover,6.2,1027
Romance on the Menu,7,18
Moneyball,7.2,4193
Goodbye World,5.3,116
Jason and the Argonauts,7.1,471
Fantastic Mr. Fox,7.8,4282
Final: The Rapture,4,11
The Crush,6.5,399
8-Bit Christmas,6.5,241
Goldfinger,7.4,2969
Cat's Eye,6.7,513
"10,000 BC",5.4,2542
Operation Mincemeat,6.6,357
Alexander,5.9,2843
The Craft,6.7,1513
Escape Plan: The Extractors,5.3,673
Creep,5.9,587
The Old Guard,7.2,3484
Hand-Drawn: Documentary,0,0
Bastille Day,6.3,1126
Jackass 3D,6.6,1163
Leprechaun: Origins,4.7,196
Ben 10: Secret of the Omnitrix,7.3,175
Dawn of the Dead,7.5,1688
Blue Story,7.3,168
Desperado,6.9,2380
Miss March,5.5,305
Mortdecai,5.5,2403
Creation,6.4,184
Seven Pounds,7.6,5997
Deadstream,6.3,24
P.S. I Love You,7.2,2977
The Baytown Outlaws,6,255
Moonlight,7.4,6249
A Bronx Tale,7.8,1745
Work It,7.7,1018
Scooby-Doo! Stage Fright,7.8,172
Molly's Game,7.2,3207
The Princess Switch,7,2008
Boss Level,6.9,1137
Aquamarine,6.3,1281
Life After Beth,5.5,565
Cashback,7,1019
The Social Dilemma,7.5,1290
Fear and Loathing in Las Vegas,7.2,3921
Dracula 2000,5.2,536
The Zookeeper's Wife,7.4,1336
The Golden Compass,6,4009
Death of Me,5,203
Highlander,6.9,2126
Stargate,7,2779
Sugar Daddy,7.4,36
The Water Horse,6.4,884
Emily the Criminal,6.8,115
Significant Other,6.3,49
Missing Link,7,710
Casablanca,8.2,4425
August Rush,7.4,2403
The Woman in Black,6.1,3105
The Last Exorcism,5.6,844
Argo,7.3,7333
Over the Top,6.3,1368
Notorious,6.9,583
Lemony Snicket's A Series of Unfortunate Events,6.8,4442
Practical Magic,6.7,1218
Downfall: The Case Against Boeing,7.1,114
Big Driver,5.7,175
The Lego Movie 2: The Second Part,6.7,1788
Atlantis: Milo's Return,6.3,2937
Samson and Delilah,6.5,153
Cradle 2 the Grave,6.1,749
Major Payne,6.3,633
The Lighthouse,7.5,3723
Zambezia,6,235
Book of Shadows: Blair Witch 2,4.2,653
Species II,5.1,539
"Everything, Everything",7.3,3490
21,6.7,4011
"Calendar Girl, Cop, Killer? The Bambi Bembenek Story",2,1
American Hustle,6.8,6456
Dark Web: Cicada 3301,6.3,88
Career Opportunities,6.8,466
Hustlers,6.5,2599
Ray,7.4,1612
Open Season 2,5.8,1016
Ocean's Twelve,6.6,6246
Wanderlust,5.5,1079
Outbreak,6.5,1881
Hacker,6.3,248
The Courier,6,457
Signs,6.7,4745
The DUFF,6.8,4075
Transformers: Dark of the Moon,6.2,7185
Surf's Up,6.3,2063
The Grudge 2,5.5,856
Cloud Atlas,6.9,6296
Unforgettable,5.8,558
In Full Bloom,6.9,69
Son of Batman,7,868
Murder on the Orient Express,6.7,8664
Memoirs of a Geisha,7.7,2526
Tremors 3: Back to Perfection,5.7,496
Dredd,6.8,4316
The Second Coming of Christ,3.6,4
Fracture,7.3,3347
Creepshow,6.9,786
Afterlife of the Party,6.8,381
Animal Crackers,6.3,154
Old Dogs,5.5,618
The American,5.9,1133
Ri¢hie Ri¢h,5.9,1935
Jexi,6.9,1004
The Knight Before Christmas,6.5,949
USS Indianapolis: Men of Courage,5.9,527
Martyrs Lane,6.5,65
Sextuplets,6.3,748
Starship Troopers: Invasion,5.9,320
Barnyard,5.8,893
All About Sex,6.3,12
Elf,6.6,3318
Mirror Mirror,5.9,2906
Secretary,6.8,1276
Revolutionary Road,7,3276
Scooby-Doo! and the Monster of Mexico,7.3,266
The Silence,6,1276
Primal,5.7,275
"Mickey, Donald, Goofy: The Three Musketeers",6.6,758
Passion Pit,5.4,5
The Untouchables,7.8,4765
Eden Lake,6.8,1397
Dreamcatcher,5.5,1490
Planet 51,5.8,1748
Wind River,7.4,4353
The Muppets,6.6,1326
Anthropoid,7.1,842
Marriage Story,7.8,5953
The Survivor,7.5,64
Ghosts of War,6.3,417
Sleepless,5.9,1116
Fractured,6.7,1930
Gulliver's Travels,5.2,2055
The Irishman,7.6,5635
Downsizing,5.3,3236
Vampire Academy,6.4,1592
Riley's First Date?,7.2,704
Destination Wedding,5.7,590
Assassins,7.1,15
Curve,7.2,25
X,6.5,191
The Heartbreak Kid,5.7,1373
Gangs of New York,7.3,5672
Beethoven's Big Break,5.2,124
"God, Sex and Truth",6.3,19
Bruised,7,360
Pound of Flesh,5.8,188
Doctor Dolittle,5.7,2655
Pleasure or Pain,4.7,47
The Guest,6.6,1637
Snow White: A Tale of Terror,6,210
Shottas,7.6,250
Last Survivors,5.4,55
Big Fish,7.8,6312
The Fog,6.7,1179
Stay Alive,5.8,607
Survivor's Choice,0,0
StarDog and TurboCat,7.2,81
City of Angels,6.8,1809
Monster High: Haunted,7.4,148
Basic Instinct 2,5.1,620
Glass Onion: A Knives Out Mystery,0,0
"I, Frankenstein",5.3,1628
Killers,6,1912
Gravity,7.2,13688
88,5.1,81
Firestarter,6,386
Overdrive,6.1,814
Blade: House of Chthon,5.9,62
The Rundown,6.4,1672
Dante's Inferno: An Animated Epic,6.9,419
The Haunted Mansion,5.6,1688
From Dusk Till Dawn 2: Texas Blood Money,4.5,355
Bliss,5.5,503
Before I Go to Sleep,6.5,1757
Desert Flower,7.5,340
Kickboxer,6.8,1117
Yes Day,6.8,906
Free State of Jones,6.7,1278
Le Loup et le Lion,7.7,277
Dinner with Leatherface,0,0
The World to Come,7.1,224
The Island,6.7,4674
My Best Friend's Girl,5.7,635
The Smurfs: The Legend of Smurfy Hollow,6.9,77
"Legally Blonde 2: Red, White & Blonde",5.6,1300
Singularity,3.7,165
Sky Sharks,5,67
Game of Thrones: The Iron Anniversary,7.3,3
Catwoman,4.6,2878
Hop,5.7,1037
Unconditional,6.8,54
Alien Xmas,6.6,101
Harold & Kumar Escape from Guantanamo Bay,6.3,1224
Slither,6.5,1194
"Love, Simon",8.1,5490
Abduction,5.9,2619
Lethal Weapon,7.3,3816
The One,6.1,1291
The Time Machine,6.2,1884
Heist,6.1,799
The Last Sharknado: It's About Time,4.6,207
Serenity,5.4,1347
Eraser,6,1499
Enter the Dragon,7.4,1489
Leprechaun in the Hood,5.1,167
The Fugitive,7.4,3491
The Edge of Seventeen,7.2,3638
The 15:17 to Paris,5.4,1445
Marie Antoinette,6.7,2290
Austin Powers in Goldmember,6,2653
Arctic Predator,5.6,34
Moulin Rouge!,7.6,3949
Spanglish,6,1099
Prison Break: The Final Break,7.5,542
Meet Dave,5.3,1200
Let Me In,6.8,1736
The Phantom of the Opera,7.3,1364
In Search of the Sanderson Sisters: A Hocus Pocus Hulaween Takeover,7,12
Tarzan & Jane,6,519
Batman and Harley Quinn,6.2,505
A Few Good Men,7.5,2881
Acts of Vengeance,5.9,467
Darkest Hour,7.4,4472
You Should Have Left,5.9,536
Robot Overlords,4.8,220
Stitches,6.4,347
For Your Eyes Only,6.5,1488
Radioflash,5.1,47
Survivor,5.6,873
Welcome Home,5.2,282
Malcolm & Marie,7.1,1165
Dark City,7.3,2286
There's Something About Mary,6.6,4286
Children of the Living Dead,3.6,17
Leaving Las Vegas,7.3,1132
Smile,0,0
The Jeffrey Dahmer Files,5.6,45
Zero Dark Thirty,7,3875
Amy,7.6,1052
A Good Man,5.1,110
Wild Things,6.3,1399
A Knight's Tale,6.9,2586
The Ballad of Buster Scruggs,7.1,3397
That Awkward Moment,6.1,2409
We Are Your Friends,6.7,2067
Triangle,6.9,2019
Midway,6.6,225
The Condemned 2,5.1,128
Poseidon,5.8,1803
Nowhere to Run,6.3,556
The Scorpion King,5.5,2673
Monster High: Freaky Fusion,7.8,94
Anna Karenina,6.7,2025
After Sex,5.6,191
Lolita,7.4,1657
Silence,7.1,2634
The Wrong Missy,6.2,977
Tarzan II,6.1,961
Tango & Cash,6.4,1544
Gridiron Gang,7,801
Disturbia,6.7,3034
Under the Skin,6.1,2910
The Queen's Corgi,6,351
Barbie in Princess Power,6.2,168
Menace II Society,7.5,608
Date Movie,4.2,817
Lethal Weapon 4,6.6,2197
"Monster High: Boo York, Boo York",7.5,134
Enemy of the State,7,3216
The Hunt for Red October,7.4,2703
Harriet,7.3,626
Problem Child,6,667
The Breakfast Club,7.8,6990
The Simpsons: When Billie Met Lisa,6,29
Julia X,5,87
The Last Picture Show,7.7,513
Professor Marston and the Wonder Women,7.3,734
See No Evil,5.4,530
Home Alone: The Holiday Heist,5.2,335
Annie,6.5,580
The Young Messiah,6.4,104
Fire and Ice,6.6,201
Haywire,5.7,1143
Little Children,7.1,777
The Nut Job 2: Nutty by Nature,5.9,336
Little Fockers,5.6,2841
Primeval,6.1,296
Teen Beach Movie,6.9,802
The Sandlot,7.5,939
The Finest Hours,6.6,1401
The Physician,7.3,921
The World Is Not Enough,6.3,2416
Batman: Assault on Arkham,7.4,950
Hard Target 2,6.1,187
13 Going on 30,6.7,4397
A Savannah Haunting,0,0
Lamp Life,7.3,250
How the Grinch Stole Christmas!,7.5,815
Cats & Dogs: The Revenge of Kitty Galore,5.2,536
Wendell & Wild,0,0
Marvel Studios Assembled: The Making of She-Hulk: Attorney at Law,0,0
Mowgli: Legend of the Jungle,6.5,2252
The Willoughbys,7.1,787
The Family,6.4,2599
Beautiful Creatures,6,2610
The Only One,5.3,15
Fear of Rain,7.1,393
Once Upon a Time in Mexico,6.3,1820
Addams Family Reunion,4.7,227
Ninja: Shadow of a Tear,6.6,291
Blue Valentine,7,2732
Crystal Lake Memories: The Complete History of Friday the 13th,7.8,80
Second Act,6.4,1053
Papillon,7.9,1554
Paranormal Activity: The Ghost Dimension,5.3,1206
Oculus,6.4,2549
Sex Drive,6.3,1096
Swan Song,7.3,359
Status Update,7.4,446
Batman: Gotham by Gaslight,6.7,581
Beverly Hills Cop,7.2,3343
Collateral,7.2,4606
The Time Traveler's Wife,6.9,2122
The Double,5.8,552
Sharkdog’s Fintastic Halloween,3.4,5
On the Basis of Sex,7.4,870
Breakout,4.5,68
Frozen,5.9,1533
Pixie Hollow Games,7,251
Silk Road,6.6,150
Margin Call,6.8,1431
The Holiday,7.1,4229
Road Wars,3.9,24
Inherent Vice,6.6,2155
Diary of a Wimpy Kid: Dog Days,6.3,795
Assassin 33 A.D.,5.2,91
Hellraiser: Deader,4.6,241
Mickey's Magical Christmas: Snowed in at the House of Mouse,6.9,227
Merry Madagascar,6.4,231
Candyman,6.6,1277
John and the Hole,5.7,50
We Were Soldiers,7.1,1688
Lara Croft: Tomb Raider,5.9,5370
Instant Family,7.6,2425
Blade,0,0
Leroy & Stitch,6.6,417
The Bye Bye Man,5.2,1088
Autómata,5.8,1423
Into the Blue,5.9,1275
Doom,5.1,1858
Army of One,6,104
Siberia,4.8,452
The Forest,5.2,1545
13 Miles,0,0
Every Day,7.2,2022
My Little Pony: Equestria Girls - Rainbow Rocks,8,126
The Reader,7.4,2533
Making Toy Story,7,4
The Big Lebowski,7.8,9654
Lock Up,6.8,944
Annette,6.8,516
Angela's Christmas Wish,6.3,86
Dead Again in Tombstone,5,64
Minority Report,7.3,7377
The Guardians of the Galaxy Holiday Special,0,0
12 Angry Men,8.5,6751
Winnie the Pooh,6.9,710
Tag,6.7,2654
Drumline,6.9,405
Punisher: War Zone,5.8,929
"No Retreat, No Surrender",6.3,441
Eliminators,6.5,147
Ben 10 Alien Swarm,6.2,269
Into the Black Abyss: Deathstream,0,0
Tarzan,5.7,515
Natural Born Killers,7.1,2852
Terror Train,2.9,5
Aftermath,5.7,758
Unfriended,5.5,2998
Johnny English Strikes Again,6.3,2083
Mickey's Twice Upon a Christmas,7,329
The Witches,6.9,1052
Spencer,6.9,1242
7 Guardians of the Tomb,5.5,161
Battle for the Planet of the Apes,5.7,713
Silver Bullet,6.5,446
Better Watch Out,6.7,1188
Unthinkable,6.7,979
Fire in the Sky,6.6,437
Collateral Beauty,7.3,4961
