Title,imbd_id,tmbd_id,year
Digimon Adventure,tt0210418,31654,1999
Gone Mom,tt14490832,831223,2021
"Sabrina, the Teenage Witch",tt0115341,605,1996
Fullmetal Alchemist: Brotherhood,tt1355642,31911,2009
Kick Buttowski: Suburban Daredevil,tt1600757,17572,2010
Frasier,tt0106004,3452,1993
Plunderer,tt11418324,93149,2020
Ranma ½,tt0096686,57706,1989
10.0 Earthquake,tt3488056,302666,2014
Predators,tt1424381,34851,2010
It's Always Sunny in Philadelphia,tt0472954,2710,2005
Scrubs,tt0285403,4556,2001
The Old Man,tt5645432,111800,2022
Big Sky,tt11794642,100010,2020
MythBusters,tt0383126,1428,2003
Hotel Transylvania,tt0837562,76492,2012
King of the Hill,tt0118375,2122,1997
Deep Water,tt2180339,619979,2022
Monster House,tt0385880,9297,2006
Law Abiding Citizen,tt1197624,22803,2009
One Tree Hill,tt0368530,269,2003
Scream Queens,tt4145384,62046,2015
Stargate Atlantis,tt0374455,2290,2004
Animaniacs,tt0105941,82,1993
Hey Arnold!,tt0115200,537,1996
Married... with Children,tt0092400,4239,1987
Monogatari,tt1480925,46195,2009
Fight Club,tt0137523,550,1999
Ghost Whisperer,tt0460644,1606,2005
My Little Pony: Friendship Is Magic,tt1751105,33765,2010
Clarence,tt3061050,50035,2014
Last Man Standing,tt1828327,39297,2011
The Dropout,tt10166622,122066,2022
Parasite,tt6751668,496243,2019
Lethal Weapon,tt5164196,67116,2016
Pawn Stars,tt1492088,21755,2009
We Bare Bears: The Movie,tt10474606,677638,2020
The Goldbergs,tt2712740,49009,2013
The Middle,tt1442464,1422,2009
Akame ga Kill!,tt3742982,61223,2014
ThunderCats,tt0088631,1988,1985
Rio,tt1436562,46195,2011
Community,tt1439629,18347,2009
Season of the Witch,tt0479997,23047,2011
Horimiya,tt13103134,110070,2021
Archer,tt1486217,10283,2009
Skins,tt0840196,900,2007
Walker,tt11006642,99121,2021
Dopesick,tt9174558,110695,2021
Rugrats,tt0101188,3022,1991
Predator 2,tt0100403,169,1990
Hulk,tt0286716,1927,2003
The Hating Game,tt8718158,603661,2021
Hannibal,tt2243973,40008,2013
Alone,tt7711170,509635,2020
Homeland,tt1796960,1407,2011
Initial D,tt0385426,40424,1998
Spider-Man 3,tt0413300,559,2007
"Beverly Hills, 90210",tt0098749,2025,1990
Kenichi: The Mightiest Disciple,tt1424037,37585,2006
Rogue Hostage,tt13067292,825997,2021
Salt,tt0944835,27576,2010
Boys Over Flowers,tt1370334,16420,2009
The View,tt0123366,2221,1997
Sundown,tt15115280,854359,2022
The O.C.,tt0362359,2673,2003
The Bob's Burgers Movie,tt7466442,504827,2022
Santa Evita,tt11563256,122048,2022
America's Funniest Home Videos,tt0098740,4448,1989
The Thundermans,tt2712516,58981,2013
Big Time Rush,tt1131746,31356,2009
Black Sails,tt2375692,47665,2014
The Powerpuff Girls,tt0175058,607,1998
Pocoyo,tt0487849,2437,2005
White Snake,tt9288776,573699,2019
Robot Chicken,tt0437745,709,2005
Trigger Point,tt13382698,809314,2021
The Strain,tt2654620,47640,2014
The Irregular at Magic High School,tt3874528,60833,2014
Kaguya-sama: Love Is War,tt9522300,83121,2019
The Bear,tt14452776,136315,2022
Assassination Classroom,tt3837246,62110,2015
Angel,tt0162065,2426,1999
Aliens vs. Predator: Requiem,tt0758730,440,2007
Flesh & Blood,tt8523678,558655,2018
The Golden Girls,tt0088526,1678,1985
Caillou,tt0262153,3218,1997
Sword Art Online,tt2250192,45782,2012
Rascal Does Not Dream of Bunny Girl Senpai,tt8993398,82739,2018
